ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Montemaria horridula	373662	exact	urn:lsid:marinespecies.org:taxname:373662	Montemaria horridula	373662	Montemaria horridula
Muricopsis zeteki	408754	exact	urn:lsid:marinespecies.org:taxname:408754	Muricopsis zeteki	408754	Muricopsis zeteki
Myriogloea sp.	146276	exact	urn:lsid:marinespecies.org:taxname:146276	Myriogloea	146276	Myriogloea
Myriogramme	143892	exact	urn:lsid:marinespecies.org:taxname:143892	Myriogramme	143892	Myriogramme
Mytilaster solisianus	506154	exact	urn:lsid:marinespecies.org:taxname:506154	Mytilaster solisianus	506154	Mytilaster solisianus
MYTILUS	138228	exact	urn:lsid:marinespecies.org:taxname:138228	Mytilus	138228	Mytilus
Mytilus chilensis	397041	exact	urn:lsid:marinespecies.org:taxname:397041	Mytilus chilensis	397041	Mytilus chilensis
Mytilus edulis	140480	exact	urn:lsid:marinespecies.org:taxname:140480	Mytilus edulis	140480	Mytilus edulis
Mytilus edulis platensis	718572	exact	urn:lsid:marinespecies.org:taxname:718572	Mytilus edulis platensis	506158	Mytilus platensis
Nacella concinna	197296	exact	urn:lsid:marinespecies.org:taxname:197296	Nacella concinna	197296	Nacella concinna
Nacella deaurata	456656	exact	urn:lsid:marinespecies.org:taxname:456656	Nacella deaurata	456656	Nacella deaurata
Nacella magellanica	456657	exact	urn:lsid:marinespecies.org:taxname:456657	Nacella magellanica	456657	Nacella magellanica
